Name,Episode,imdb,usview
Homer,1,8.2,26.7
Homer,8,7.7,28
Homer,21,8.4,26.2
Homer,30,7.5,23.9
Homer,31,8,20.6
Homer,34,8.4,21
Homer,45,8.8,23.9
Homer,53,8.6,24.6
Homer,64,8.4,25.1
Homer,65,8.4,25.1
Homer,99,8.4,14.7
Homer,103,8,15.6
Homer,109,9,22.2
Homer,143,7.7,15
Homer,144,8.1,13.4
Homer,150,8.3,13
Homer,153,8,12.9
Homer,167,7.7,17.7
Homer,179,9.1,10.5
Homer,188,7.6,9.6
Homer,202,7.7,7.6
Homer,223,7.3,6.9
Homer,250,7.4,16.2
Homer,256,8,15.9
Homer,266,8.6,14.4
Homer,267,7.3,13.1
Homer,275,7.1,13.2
Homer,276,6.9,11.8
Homer,285,7.7,12.5
Homer,297,7.3,15.5
Homer,298,7.1,15
Homer,299,7.3,12.8
Homer,305,6.9,14.4
Homer,310,6.8,11.59
Homer,324,7.1,8.9
Homer,334,6.2,8.7
Homer,337,7,11.64
Homer,349,6.9,7.48
Homer,393,6.3,8.98
Homer,396,6.3,7.57
Homer,401,6.7,9.7
Homer,409,8.2,10.15
Homer,420,6.4,6.11
Homer,462,6.9,5.66
Homer,476,7,6.5
Homer,528,6.3,4.16
Homer,531,7,6.37
Homer,537,7,6.85
Homer,538,6.5,8.48
Homer,551,6.7,3.66
Homer,554,6.9,4.27
Homer,558,7.9,6.7
Homer,561,6.8,6.52
Homer,564,5.8,3.29
Homer,565,6.3,2.78
Bart,3,7.5,27.5
Bart,6,7.6,27.4
Bart,7,7.6,27.4
Bart,14,8.2,33.6
Bart,18,7.5,26.1
Bart,19,7.5,26.1
Bart,22,8.1,22.2
Bart,35,8.4,21
Bart,37,7.7,20.2
Bart,39,8.7,20.8
Bart,50,8,23.7
Bart,54,7.7,23.4
Bart,70,8.7,23.6
Bart,81,8.2,19.4
Bart,110,8,15.3
Bart,140,8.3,16.7
Bart,192,8.1,9.6
Bart,224,7.2,7.26
Bart,228,7.5,7.1
Bart,233,7.1,9.2
Bart,243,7,8.77
Bart,281,6.5,13.2
Bart,284,7,11.1
Bart,294,7,13.3
Bart,311,6.9,10.56
Bart,329,6.9,10.5
Bart,346,6.9,10.39
Bart,359,7,10.19
Bart,369,7.4,9.72
Bart,382,7.1,10.43
Bart,384,6.8,9.31
Bart,391,7.3,8.8
Bart,441,7.2,5.86
Bart,449,7.2,7.11
Bart,458,6.7,5.65
Bart,467,6.8,6.72
Bart,470,6.5,6.58
Bart,479,6.7,6.2
Bart,499,6.5,4.26
Bart,509,6.4,8.08
Bart,526,6.5,4.54
Bart,530,7,4.52
Marge,29,7.5,23.9
Marge,32,8.5,17.7
Marge,52,8.6,24.6
Marge,62,9,19.3
Marge,67,7.8,22.9
Marge,93,8.1,20
Marge,225,7.3,6.8
Marge,239,6.6,9.6
Marge,254,7.7,15.6
Marge,260,6.9,14
Marge,261,7.2,15.4
Marge,272,7.2,14.4
Marge,368,6.4,9.51
Marge,388,6.6,13.9
Marge,420,6.4,6.11
Marge,434,6.3,6.15
Marge,497,7,11.48
Marge,575,5.9,3.28
Marge,579,6.8,6.75
Marge,585,6.8,8.33
Lisa,8,7.7,28
Lisa,11,7.8,31.2
Lisa,13,7.9,27.1
Lisa,25,8.2,26.8
Lisa,36,8.6,22.9
Lisa,41,8.5,20.6
Lisa,60,8.2,17.2
Lisa,68,8.8,24
Lisa,71,9,23
Lisa,82,8.4,19.9
Lisa,107,6,13.5
Lisa,110,8,15.3
Lisa,175,8,16.9
Lisa,176,9.2,11.8
Lisa,194,7.6,10.3
Lisa,245,6.6,7.46
Lisa,255,7.3,16.8
Lisa,259,7.5,18.5
Lisa,263,7.4,17.6
Lisa,269,7,13.4
Lisa,287,7.7,12.4
Lisa,289,7.2,11.2
Lisa,291,8,8.2
Lisa,302,6.6,21.3
Lisa,306,7.3,13
Lisa,312,6.6,12.1
Lisa,315,7.3,12.4
Lisa,330,6.7,9.2
Lisa,333,7.3,6.6
Lisa,335,7.2,9.2
Lisa,348,7,8.49
Lisa,426,7.1,8.52
Lisa,429,5.9,5.75
Lisa,508,4.5,4.82
Lisa,521,7,4.57
Lisa,564,5.8,3.29
Lisa,575,5.9,3.28
Lisa,591,6.5,2.32
